marque,modele,annee,prix,kilometrage,boite_vitesses,region,carburant,date_publication,titre_annonce,page
Peugeot,307,2007.0,2300000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2007 Peugeot 307,3
Nissan,Murano,2008.0,3200000.0,115305,Automatique,Dakar,Essence,Publié il y a plus de 7 ans,2008 Nissan Murano,3
Volkswagen,Passat,2007.0,1600000.0,120000,Manuelle,Dakar,Diesel,Publié il y a presque 8 ans,2007 Volkswagen Passat,3
Chevrolet,Camaro,2012.0,4000000.0,220000,Manuelle,Dakar,Diesel,Publié il y a presque 8 ans,2012 Chevrolet Camaro,3
Renault,Megane,2008.0,1600000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2008 Renault Megane,3
Renault,19,2000.0,1800000.0,180000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2000 Renault 19,3
Renault,Scenic,2006.0,2300000.0,200000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2006 Renault Scenic,3
Ford,Escape,2006.0,4500000.0,120000,Automatique,Dakar,Essence,Publié il y a presque 7 ans,2006 Ford Escape,3
Renault,Megane,2005.0,2000000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2005 Renault Megane,3
Ford,Focus,2014.0,4500000.0,115000,Automatique,Dakar,Essence,Publié il y a presque 7 ans,2014 Ford Focus,3
Volkswagen,Passat,2006.0,2500000.0,164686,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2006 Volkswagen Passat,3
Mitsubishi,Spacestar,2008.0,2000000.0,160000,Manuelle,Dakar,Essence,Publié il y a environ 7 ans,2008 Mitsubishi Spacestar,3
Ford,Focus,2006.0,2150000.0,160000,Manuelle,Dakar,Diesel,Publié il y a presque 7 ans,2006 Ford Focus,3
